url,ProductReference,Name,Brand,ShortDescription,specificOne,specificOneValue,specificTwo,specificTwoValue,specificThree,specificThreeValue,DataSheet
https://redstarexhaustusa.com/aston-martin-vantage-40-secondary-downpipes,RS.Vantage.Secondary ,Aston Martin Vantage 4.0 Secondary Downpipes,RedStar Exhaust,"Presenting the Redstar Exhaust, finely tuned for the Aston Martin Vantage 4.0L M177, with a special emphasis on secondary cat deletion. Our design showcases a meticulously flow-optimized lower Secondary Downpipe, guaranteeing a smooth bolt-on installation devoid of any check engine light concerns.",Performance Heat Shielding: ,No ,,,,,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/audi-r8-v10-long-tube-headers,RS.R8.Headers,Audi R8 V10 Long Tube Headers,RedStar Exhaust,"Unleash the full potential of your V10 with REDSTAR's Audi R8 V10 Race Long Tube Headers, designed for weight reduction and optimal performance gains through superior scavenging effects. Amplify your V10's glorious roar, perfect for those craving flames and a true supercar scream.*VIN required in the notes section when ordering*",Alloy: ,Stainless Steel,High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,Yes,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>5.2L V10</td></tr></table>"
https://redstarexhaustusa.com/audi-q7-q8-e839-30t-downpipe,RS.Q7Q8.E839.DP,Audi Q7 Q8 E839 3.0t Downpipe,RedStar Exhaust,REDSTAR EXHAUST performance downpipe for the Q7 Q8 E839 3.0T with single-turbo engine. Our downpipe utilizes a big bore design with smooth transitions for maximum flow and efficiency. REDSTAR is the only manufacturer who offers so many options to choose from.***Please provide VIN when ordering***,High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>3.0L TSFI Turbo</td></tr></table>"
https://redstarexhaustusa.com/audi-r8-v10-gen2-high-frequency-exhaust,RS.R8.HighFreq.Exhaust,Audi R8 V10 Facelift High Frequency Exhaust,RedStar Exhaust,REDSTAR EXHAUST High Frequency Race Exhaust is properly tuned and designed for your Audi R8 2020+ V10. We added a long X ram horn loop to help balance the sound and get maximum performance improvement from scavenging effects and the highest frequencies possible. R8 GEN2 Titanium Exhaust Video,Alloy: ,Stainless Steel,Performance Heat Shielding: ,No ,Vehicle Has OPF (EU/AU Emissions only): ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>5.2L V10</td></tr></table>"
https://redstarexhaustusa.com/audi-c8-s6-s7-downpipe-resonator-delete-system,RS.C8.S6.S7.Res.DP,Audi C8 S6 / S7 Downpipe Resonator Delete System,RedStar Exhaust,REDSTAR EXHAUST C8 S6 / S7 Downpipes and Front Resonator delete system will unleash all the potential that the 2.9t biturbo has. Combined with a ECU tune our system will hold any power you can get even with a big-turbo upgrade.,High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Connection: ,OEM ,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>2.9L TSFI Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/audi-c8-s6-s7-downpipes,RS.C8.S6.S7.DP,Audi C8 S6 / S7 Downpipes,RedStar Exhaust,"Discover unparalleled performance with REDSTAR EXHAUST's downpipes meticulously crafted for the new C8 S6/S7, equipped with the potent 2.9L Twin Turbo engine. Our precision-engineered big bore design and seamless transitions guarantee optimal flow efficiency, allowing you to experience peak performance like never before.",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Vehicle Has OPF (EU/AU Emissions only): ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>2.9L TSFI Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/audi-rsq8-center-resonator-delete,RS.RSQ8.Center.Delete,Audi RSQ8 Center Resonator Delete,RedStar Exhaust,"Redstar Exhaust Audi RSQ8 Center Resonator Delete, Replaces the center resonator pipe section after the front resonators. No check engine light issues. Provides a more complete and aggressive tone compared to the Urus. Requires two cuts to be made after the Center Resonator and fitted with supplied clamps. *Please send us the VIN before ordering to verify fitment*",Alloy: ,Stainless Steel,Design: ,Straight Pipe,,,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/audi-rs3-8y-downpipe,RS.RS38Y.DP,Audi RS3 8Y Downpipe,RedStar Exhaust,"Redstar Exhaust downpipe for the new Audi RS3 8Y. Optimized single-tube design, provides a huge increase in exhaust flow and will allow for a significant power gain. RS3 8Y Competition Heat Shielded Downpipe Video",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>2.5L Turbo</td></tr></table>"
https://redstarexhaustusa.com/audi-sq7-sq8-downpipe-resonator-delete-system,RS.SQ7.SQ8.Res.DP,Audi SQ7 / SQ8 Downpipe Resonator Delete system,RedStar Exhaust,REDSTAR EXHAUST downpipes and front resonator delete unleashes all the potential that the cat has. Combined with ECU tune our downpipes will hold any power you can get even with a big-turbo upgrade.SQ7 HJS 200 Cell Downpipes and Resonator Delete Video SQ7 HJS Catted Downpipes and Resonator Delete VideoSQ7 Gesi 6” Heat Shielded Downpipes and Resonator Delete Video,High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Connection: ,OEM ,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/audi-sq7-sq8-resonator-delete,RS.SQ7.SQ8.Res,Audi SQ7 / SQ8 Front Resonator Delete,RedStar Exhaust,"Redstar Exhaust Audi SQ7/SQ8 Resonator Delete, Replaces the front resonator pipe after the Downpipes for a complete plug and play solution. No cutting required, No check engine light issues. Provides a more complete and aggressive tone compared to the Urus. SQ8 Front Resonator Delete Video",Alloy: ,Stainless Steel,Performance Heat Shielding: ,No ,,,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/audi-c8-a6-a7-downpipe-resonator-delete-system,RS.C8A6.C8A7.Res.DP,Audi C8 A6 / A7 Downpipe Resonator Delete system,RedStar Exhaust,By replacing the massive OEM catalytic converters with a REDSTAR EXHAUST downpipe and resonator delete we unleash all the potential that the 3.0t Turbo 55TFSI Engine has. Combined with ECU tune our system will hold any power you can get even with a big-turbo upgrade.,High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Connection: ,OEM ,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>3.0L TSFI Turbo</td></tr></table>"
https://redstarexhaustusa.com/bentley-bentayga-e-hybrid-e839-30t-downpipe,RS.Bentayga.E839.DP,Bentley Bentayga E-Hybrid E839 3.0t Downpipe,RedStar Exhaust,REDSTAR EXHAUST performance downpipe for the Bentayga E-Hybrid E839 3.0T with single-turbo engine. Our downpipe utilizes a big bore design with smooth transitions for maximum flow and efficiency. REDSTAR is the only manufacturer who offers so many options to choose from.***Please provide VIN when ordering***,High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>3.0L TSFI Turbo</td></tr></table>"
https://redstarexhaustusa.com/bentley-bentayga-center-resonator-delete,RS.Bentayga.Center.Delete,Bentley Bentayga Center Resonator Delete,RedStar Exhaust,"Redstar Exhaust Bentayga Center Resonator Delete, Replaces the center resonator pipe section after the front resonators. No check engine light issues. Provides a more complete and aggressive tone compared to the Urus. Requires two cuts to be made after the Center Resonator and fitted with supplied clamps. *Please send us the VIN before ordering to verify fitment*",Alloy: ,Stainless Steel,Design: ,Straight Pipe,,,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/bentley-bentayga-w12-secondary-downpipes,RS.Bentayga.w12.secondary ,Bentley Bentayga W12 Secondary Downpipes,RedStar Exhaust,"Redstar Exhaust Bentayga Secondary Cat Delete. Replaces the secondary Downpipe section after the Promary Downpipes on the Bentayga 6.0 W12 for a complete plug and play solution. No cutting required, No check engine light issues. *Only fits W12 6.0, Does NOT fit 4.0 V8*",Alloy: ,Stainless Steel,Performance Heat Shielding: ,No ,,,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>6.0L W12</td></tr></table>"
https://redstarexhaustusa.com/bentley-bentayga-downpipe-resonator-delete-system,RS.Bentayga.Res.DP,Bentley Bentayga Downpipe Resonator Delete system,RedStar Exhaust,"By replacing the massive OEM catalytic converters with REDSTAR EXHAUST downpipes and resonator delete we unleash all the potential that the biturbo has. Combined with ECU tune our downpipes will hold any power you can get even with a big-turbo upgrade.*Only fits V8 4.0, Does NOT fit W12*",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Connection: ,OEM ,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/bentley-bentayga-resonator-delete,RS.Bentayga.Res,Bentley Bentayga Front Resonator Delete,RedStar Exhaust,"Redstar Exhaust Bentayga Resonator Delete. Replaces the front resonator pipe after the Downpipes on the Bentayga 4.0 V8 for a complete plug and play solution. No cutting required, No check engine light issues. *Only fits V8 4.0, Does NOT fit W12*",Alloy: ,Stainless Steel,Performance Heat Shielding: ,No ,,,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Bi-Turbo</td></tr></table>"
https://redstarexhaustusa.com/bentley-continental-gt-flying-spur-downpipes,RS.Spur.DP,Bentley Continental GT / Flying Spur Downpipes,RedStar Exhaust,"All cars need more power & better sound, and the new Bentleys not an exception! We designed flow-optimized and perfectly fit downpipes, that utilize OEM split design.*Only fits V8 4.0, Does NOT fit W12*",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Vehicle Has OPF (EU/AU Emissions only): ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/bentley-continental-gt-flying-spur-secondary-downpipes,RS.Spur.Secondary ,Bentley Continental GT / Flying Spur Secondary Downpipes,RedStar Exhaust,"We designed flow-optimized and perfectly fit downpipes, that utilize OEM split design. Completely bolt-on, No check engine light issues.*Only fits V8 4.0, Does NOT fit W12*",Build Variation: ,Secondary Cat Bypass ,Vehicle Has OPF (EU/AU Emissions only): ,No,,,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/bentley-bentayga-downpipes,RS.Bentayga.DP,Bentley Bentayga Downpipes,RedStar Exhaust,"Not to much can be improved or modified in modern supercars like the Bentayga. But they are still incredibly responsive to exhaust modifications. Our downpipe kit can offer a significant improvement in both sound and performance. Bentley Bentayga Downpipe Video*Only fits V8 4.0, Does NOT fit W12*",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,,,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/bmw-x5m-x6m-competition-s68-secondary-downpipes,RS.Comp.S68.Sec.DP,BMW X5M / X6M Competition S68 Secondary Downpipes,RedStar Exhaust,"Explore the ultimate enhancement for your all-new BMW X5M or X6M LCI equipped with the S68 engine—REDSTAR EXHAUST Secondary Downpipes. Effortlessly replacing the secondary catalytic converters, these downpipes provide a seamless, plug-and-play solution, elevating your driving experience to new heights.",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,,,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.4L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/bmw-x5m-x6m-competition-s68-primary-downpipes,RS.Comp.S68.Pri.DP,BMW X5M / X6M Competition S68 Primary Downpipes,RedStar Exhaust,"Enhance your BMW X5M or X6M LCI by integrating the S68 engine with REDSTAR EXHAUST Downpipes. These meticulously designed downpipes effortlessly replace the primary catalytic converters, offering a simple yet powerful upgrade for optimal performance.",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.4L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/bmw-x5m-x6m-competition-s68-downpipes,RS.Comp.S68.DP,BMW X5M / X6M Competition S68 Downpipes,RedStar Exhaust,"Enhance your BMW X5M or X6M LCI with the cutting-edge S68 engine by integrating REDSTAR EXHAUST Downpipes. These meticulously crafted downpipes replace both primary and secondary catalytic converters, delivering a straightforward bolt-on solution for superior performance. Unlock the full potential of your vehicle with this upgrade.",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.4L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/bmw-xm-g09-secondary-downpipes,RS.XM.Sec.DP,BMW XM G09 Secondary Downpipes,RedStar Exhaust,REDSTAR EXHAUST Secondary Downpipes for the all new BMW XM G09 with S68 M60i engine. Replaces the secondary cats for a complete plug and play solution. ,High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,,,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.4L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/bmw-xm-g09-primary-downpipes,RS.XM.Pri.DP,BMW XM G09 Primary Downpipes,RedStar Exhaust,"Upgrade your new BMW XM G09 with the S68 M60i engine using REDSTAR EXHAUST Downpipes. These downpipes replace the primary catalytic converters, providing a seamless bolt-on solution for enhanced performance.",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.4L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/bmw-xm-g09-downpipes,RS.XM.DP,BMW XM G09 Downpipes,RedStar Exhaust,"Upgrade your new BMW XM G09 with the S68 M60i engine using REDSTAR EXHAUST Downpipes. These downpipes replace both primary and secondary catalytic converters, providing a seamless bolt-on solution for enhanced performance.",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.4L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/bmw-760i-primary-downpipes,RS.760i.Pri.DP,BMW 760i Primary Downpipes,RedStar Exhaust,REDSTAR EXHAUST Primary Downpipes for the all new BMW 760i V8 with S68 M60i engine. *VIN Required in notes Section when ordering*,High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.4L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/bmw-x5-x6-x7-m60i-secondary-downpipes,RS.M60i.Sec.DP,BMW X5 / X6 / X7 M60i Secondary Downpipes,RedStar Exhaust,"REDSTAR EXHAUST Secondary Downpipes for the all new BMW X5 G05, X6 G06, X7 G07 with LCI S68 M60i engine. Replaces the secondary cats for a complete plug and play solution. ",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,,,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.4L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/bmw-x5-x6-x7-m60i-primary-downpipes,RS.M60i.Pri.DP,BMW X5 / X6 / X7 M60i Primary Downpipes,RedStar Exhaust,"Upgrade your BMW X5 G05, X6 G06, or X7 G07 with the LCI S68 M60i engine using REDSTAR EXHAUST Downpipes. These downpipes replace the primary catalytic converters, providing a seamless bolt-on solution for enhanced performance.",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.4L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/bmw-x5-x6-x7-m60i-downpipes,RS.M60i.DP,BMW X5 / X6 / X7 M60i Downpipes,RedStar Exhaust,"Upgrade your BMW X5 G05, X6 G06, or X7 G07 with the LCI S68 M60i engine using REDSTAR EXHAUST Downpipes. These downpipes replace both primary and secondary catalytic converters, providing a seamless bolt-on solution for enhanced performance.",High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,No ,Straight Tunable 02 Sensor Spacers: ,No,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.4L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/canam-maverick-x3-turbo-side-exit-exhaust,RS.MavSide.Exhaust,Canam Maverick X3 Turbo side exit Exhaust,RedStar Exhaust,Our 3in catless race exhaust provides a huge increase in exhaust flow and will allow for a significant power gain.,Performance Heat Shielding: ,No ,Muffler Quantity: ,Single Muffler ,,,
https://redstarexhaustusa.com/ferrari-sf90-race-x-muffler-delete,RS.SF90.RaceX,Ferrari SF90 Race-X Muffler Delete,RedStar Exhaust,"The Ferrari SF90 can reach unprecedented heights with our Race-X Muffler Delete. Unlock a surge in performance, shed excess weight, and envelop yourself in an enthralling, racing-inspired exhaust symphony. Our Race-X exhaust ingeniously combines both exhaust banks, harmonizing and amplifying the sound to create an auditory masterpiece that distinctly sets this exceptional car apart from the rest.",Alloy: ,Stainless Steel,Performance Heat Shielding: ,No ,Tip Style: ,Reuse OE Tips,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/ferrari-sf90-turbo-back-race-x-exhaust-system,RS.SF90.ExhaustX,Ferrari SF90 Turbo Back Race-X Exhaust System,RedStar Exhaust,"The Ferrari SF90, already remarkable, reaches new heights with our Complete Turbo Back Race-X Exhaust System. Experience substantial speed and power gains, a weight reduction, and a mesmerizing racing-inspired exhaust note, thanks to our Race-X technology harmonizing both exhaust banks.",Alloy: ,Stainless Steel,High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,Yes,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/ferrari-sf90-straight-race-muffler-delete,RS.SF90.Race,Ferrari SF90 Straight Race Muffler Delete,RedStar Exhaust,"The Ferrari SF90, an absolute marvel in the realm of supercars, can ascend to unparalleled levels with our Race-Inspired Straight Pipe Muffler Delete. Experience a substantial surge in performance, shed excess weight, and immerse yourself in the exhilarating, racing-inspired exhaust melody that truly sets this extraordinary car apart.",Alloy: ,Stainless Steel,Performance Heat Shielding: ,No ,Tip Style: ,Reuse OE Tips,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/ferrari-sf90-downpipes,RS.SF90.DPS,Ferrari SF90 Downpipes,RedStar Exhaust,"The Ferrari SF90, already a marvel among supercars, can reach even greater heights with our specialized Downpipes. Witness a substantial enhancement in performance, a noticeable reduction in weight, and revel in the exhilarating, racing-inspired exhaust note that sets it apart from the rest.",Alloy: ,Stainless Steel,High Flow Catalyst: ,Competition (Catless),Performance Heat Shielding: ,Yes,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/ferrari-sf90-opf-delete,RS.SF90.OPF,Ferrari SF90 OPF Delete,RedStar Exhaust,"The Ferrari SF90 is already an impressive supercar, and our OPF Delete can enhance its performance, reduce weight, and provide a thrilling racing-inspired sound. Tuning is essential when opting for the OPF Delete, ensuring a significantly faster and more exhilarating driving experience.",Alloy: ,Stainless Steel,Performance Heat Shielding: ,Yes,,,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>4.0L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/ferrari-488-race-x-exhaust,RS.488.RaceX,Ferrari 488 Race-X Exhaust,RedStar Exhaust,"The Ferrari 488 is one of the most incredible supercars at the moment. It will be even better and significantly faster with our Redstar Exhaust system. The engine is very responsive to exhaust modifications. Eliminating the stock bulky Ferrari exhaust with our X-Race Exhaust crossover will give you a significant performance improvement, weight saving, and that awesome racing-inspired sound.",Alloy: ,Stainless Steel,Performance Heat Shielding: ,No ,,,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>3.9L Twin Turbo</td></tr></table>"
https://redstarexhaustusa.com/ferrari-f12-berlinetta-f1-xpipe,RS.F12.F1,Ferrari F12 Berlinetta F1 Xpipe,RedStar Exhaust,"The Ferrari F12 Berlinetta stands as a pinnacle among supercars. Elevate its performance and imbue it with an exotic, race-inspired F1 sound using our High Frequency X-pipe. Experience substantial weight reduction, enhancing both its form and function.",Alloy: ,Stainless Steel,Performance Heat Shielding: ,No ,,,"<table class=""table-data-sheet""><tr class=""odd""><td>Engine Type</td><td>6.5L V12</td></tr></table>"
